filename,Mobilenet_v1,Inception_v4,Resnet_v1_152,kp_surf,average_perceived_brightness,contrast,area_by_perim,aspect_ratio,edge_length1,hue1
ILSVRC2012_val_00000001.JPEG,1,0,0,0.15081637114302943,0.059826081390577976,-0.4620720682274576,-0.22606121768406395,-0.1520860727688604,-0.276165537277217,-0.17028688337596423
ILSVRC2012_val_00000002.JPEG,0,0,0,0.17217040760676738,-0.24343162149389339,-0.41333086649103834,-0.46439277886848407,-0.3614369715028214,-0.30786081965333373,-0.09511842341756642
ILSVRC2012_val_00000003.JPEG,1,0,0,0.15726233026763792,-0.32314979657414705,-0.06861439930142935,0.09144712382165471,0.1268138610855436,-0.19336792253377094,-0.25926557769165215
ILSVRC2012_val_00000004.JPEG,1,0,0,0.057523896121795266,0.37357333809161497,0.3804995335115309,0.768158225322956,0.7212381856630277,0.19517314387265033,-0.08060061470484663
ILSVRC2012_val_00000005.JPEG,0,1,0,0.16413285247236747,-0.31719077213190777,-0.39286289911166306,-0.45396772413817094,-0.30260103276195294,2.271738739630878,-0.3374607060791496
ILSVRC2012_val_00000006.JPEG,0,1,0,0.1763515770313192,-0.33399423972477554,-0.4355971045089699,-0.45597545602976625,-0.3468829843336777,-0.3095761832292118,-0.28243613073813434
ILSVRC2012_val_00000007.JPEG,1,0,0,0.18002056872860878,-0.495612710013684,-0.470157685248761,-0.4774498740447244,-0.32876900951694715,-0.28673769134973504,-0.37521249720653505
ILSVRC2012_val_00000008.JPEG,0,0,0,0.14211972412911958,-0.03331947755708663,0.028687530517457926,0.09949449623846197,0.13388268839290085,0.04940922604803302,-0.27974402851680485
ILSVRC2012_val_00000009.JPEG,1,0,0,0.14184832774258613,0.16570867786196147,-0.16855338491786415,-0.2560038954326777,-0.35931631333051156,-0.09511675156569595,-0.3384846848874187
ILSVRC2012_val_00000010.JPEG,1,0,0,-10.866292934108568,7.329943688188417,5.244973869250626,10.10131411105811,8.919500148923898,1.1149891520415738,1.4069895114883613
ILSVRC2012_val_00000011.JPEG,1,0,0,0.17914571948116628,-0.43376318321814644,-0.46138133349382177,-0.48499140130535884,-0.3999182038063846,-0.3085013703668937,-0.30331289750296825
ILSVRC2012_val_00000012.JPEG,1,0,0,0.17760176655735913,-0.4113440124782663,-0.36327571348079424,-0.47574003840736284,-0.3269644332728628,-0.3040929958327529,-0.18092880570501765
ILSVRC2012_val_00000013.JPEG,1,0,0,0.17682788020853066,-0.40757034355629873,-0.36020938820431336,-0.4078581737717637,-0.25370257342140984,-0.29439272909747494,-0.24406868837713686
